iter	Passed	Remaining
0	166	166318
1	169	84500
2	172	57175
3	174	43424
4	176	35171
5	179	29659
6	181	25726
7	183	22776
8	185	20477
9	188	18630
10	190	17124
11	192	15876
12	195	14835
13	197	13923
14	200	13142
15	202	12452
16	204	11843
17	207	11298
18	209	10810
19	211	10377
20	214	9993
21	216	9637
22	219	9308
23	221	9009
24	223	8730
25	226	8476
26	228	8248
27	231	8028
28	233	7820
29	235	7627
30	238	7446
31	240	7277
32	243	7124
33	245	6976
34	247	6836
35	250	6705
36	252	6577
37	255	6456
38	257	6347
39	259	6237
40	262	6132
41	264	6036
42	267	5942
43	269	5855
44	271	5770
45	274	5687
46	276	5607
47	278	5530
48	281	5458
49	284	5396
50	286	5331
51	288	5266
52	291	5201
53	293	5141
54	295	5082
55	298	5030
56	300	4976
57	303	4926
58	305	4875
59	307	4825
60	310	4776
61	312	4731
62	314	4684
63	317	4641
64	319	4598
65	322	4557
66	324	4516
67	325	4465
68	328	4426
69	330	4390
70	332	4353
71	335	4319
72	337	4286
73	340	4256
74	342	4223
75	344	4192
76	347	4163
77	349	4134
78	352	4105
79	354	4077
80	356	4048
81	359	4021
82	361	3995
83	364	3969
84	365	3935
85	368	3916
86	370	3892
87	374	3882
88	378	3873
89	382	3865
90	385	3850
91	388	3831
92	390	3812
93	393	3790
94	395	3768
95	398	3748
96	400	3727
97	402	3706
98	405	3686
99	407	3668
100	410	3649
101	411	3620
102	413	3602
103	415	3582
104	418	3564
105	420	3547
106	423	3531
107	425	3514
108	428	3498
109	430	3481
110	432	3465
111	435	3448
112	437	3434
113	439	3417
114	442	3402
115	444	3384
116	446	3368
117	448	3353
118	450	3335
119	452	3320
120	455	3307
121	457	3293
122	458	3271
123	461	3257
124	463	3246
125	466	3234
126	468	3221
127	470	3202
128	472	3189
129	474	3176
130	477	3166
131	479	3153
132	481	3141
133	484	3129
134	486	3117
135	488	3105
136	491	3094
137	493	3080
138	495	3069
139	497	3058
140	500	3047
141	502	3036
142	506	3033
143	509	3028
144	512	3021
145	514	3011
146	517	3001
147	520	2996
148	523	2988
149	526	2980
150	528	2972
151	531	2965
152	534	2958
153	537	2951
154	540	2945
155	542	2935
156	544	2926
157	548	2924
158	551	2915
159	553	2906
160	556	2897
161	558	2888
162	561	2881
163	564	2877
164	567	2869
165	569	2860
166	571	2851
167	573	2841
168	576	2833
169	578	2826
170	581	2818
171	583	2809
172	585	2801
173	588	2792
174	591	2786
175	593	2779
176	596	2772
177	598	2764
178	600	2756
179	603	2748
180	604	2735
181	606	2727
182	609	2719
183	611	2712
184	613	2704
185	616	2696
186	618	2689
187	621	2682
188	623	2674
189	625	2667
190	628	2659
191	630	2652
192	632	2646
193	635	2639
194	637	2632
195	640	2625
196	642	2618
197	644	2611
198	647	2607
199	650	2600
200	652	2593
201	654	2587
202	657	2580
203	660	2575
204	662	2568
205	664	2561
206	666	2555
207	669	2548
208	671	2541
209	674	2536
210	676	2530
211	679	2524
212	681	2517
213	683	2511
214	686	2506
215	688	2500
216	691	2494
217	693	2488
218	695	2481
219	698	2475
220	700	2469
221	702	2463
222	705	2457
223	707	2450
224	709	2444
225	711	2438
226	714	2432
227	716	2425
228	718	2419
229	721	2413
230	723	2407
231	725	2402
232	728	2397
233	732	2396
234	734	2391
235	736	2385
236	739	2379
237	741	2373
238	744	2371
239	747	2368
240	750	2364
241	753	2360
242	756	2358
243	759	2353
244	762	2348
245	764	2342
246	766	2337
