iter	Passed	Remaining
0	187	187748
1	195	97631
2	200	66784
3	207	51731
4	210	41965
5	214	35500
6	217	30799
7	224	27814
8	228	25111
9	231	22931
10	240	21641
11	244	20090
12	247	18760
13	251	17698
14	254	16726
15	257	15864
16	265	15348
17	268	14668
18	272	14060
19	281	13778
20	285	13300
21	289	12862
22	299	12729
23	305	12407
24	310	12117
25	314	11780
26	321	11597
27	325	11307
28	328	11011
29	331	10730
30	336	10517
31	339	10266
32	342	10035
33	349	9941
34	352	9730
35	356	9543
36	359	9356
37	363	9212
38	368	9075
39	384	9225
40	398	9326
41	415	9467
42	425	9477
43	431	9365
44	438	9307
45	441	9162
46	444	9017
47	452	8983
48	456	8857
49	459	8736
50	466	8682
51	469	8564
52	473	8464
53	481	8432
54	485	8346
55	490	8271
56	499	8264
57	502	8163
58	505	8063
59	513	8043
60	518	7975
61	521	7894
62	530	7888
63	533	7806
64	537	7725
65	546	7732
66	549	7651
67	552	7572
68	561	7571
69	564	7499
70	567	7427
71	579	7466
72	584	7416
73	591	7405
74	595	7348
75	599	7294
76	608	7292
77	614	7266
78	627	7312
79	642	7386
80	649	7367
81	652	7301
82	653	7221
83	661	7216
84	664	7158
85	667	7094
86	674	7074
87	677	7017
88	680	6962
89	682	6905
90	689	6889
91	692	6834
92	695	6780
93	697	6725
94	705	6717
95	708	6674
96	713	6639
97	722	6650
98	726	6607
99	758	6827
100	770	6859
101	775	6828
102	787	6861
103	791	6819
104	801	6834
105	805	6796
106	835	6974
107	851	7028
108	869	7104
109	876	7088
110	882	7066
111	893	7081
112	977	7673
113	984	7651
114	996	7672
115	1012	7717
116	1034	7803
117	1100	8226
118	1110	8219
119	1114	8171
120	1126	8185
121	1135	8169
122	1148	8192
123	1153	8147
124	1158	8111
125	1186	8231
126	1201	8261
127	1211	8255
128	1243	8397
129	1310	8767
130	1314	8717
131	1322	8696
132	1336	8712
133	1354	8752
134	1427	9146
135	1442	9167
136	1452	9149
137	1468	9171
138	1488	9218
139	1493	9173
140	1553	9463
141	1555	9400
142	1565	9384
143	1569	9332
144	1574	9283
145	1585	9274
146	1590	9226
147	1630	9385
148	1634	9336
149	1642	9310
150	1648	9270
151	1652	9221
152	1660	9190
153	1673	9196
154	1678	9151
155	1683	9105
156	1689	9070
157	1692	9020
158	1699	8987
159	1703	8940
160	1705	8886
161	1708	8839
162	1730	8887
163	1739	8864
164	1743	8824
165	1773	8908
166	1777	8865
167	1784	8838
168	1788	8796
169	1793	8754
170	1800	8728
171	1821	8766
172	1824	8719
173	1831	8695
174	1834	8648
175	1837	8602
176	1840	8556
177	1848	8534
178	1851	8492
179	1854	8449
180	1865	8441
181	1869	8400
182	1876	8379
183	1881	8346
184	1885	8306
185	1895	8296
186	1900	8263
187	1908	8241
188	1911	8203
189	1915	8164
190	1924	8153
191	1929	8118
192	1941	8117
193	1944	8078
194	1947	8040
195	1956	8026
196	1960	7992
197	1963	7954
198	1970	7931
199	1973	7894
200	1976	7858
201	1981	7827
202	1985	7796
203	1990	7766
204	1993	7731
205	2000	7712
206	2004	7677
207	2007	7643
208	2011	7613
209	2019	7597
210	2035	7610
211	2046	7605
212	2055	7595
213	2068	7595
214	2071	7561
215	2079	7547
216	2082	7515
217	2086	7483
218	2099	7488
219	2103	7456
220	2111	7442
221	2114	7410
222	2117	7378
223	2126	7365
224	2129	7334
225	2133	7306
226	2142	7297
227	2146	7266
228	2149	7237
229	2153	7210
230	2157	7182
231	2160	7150
232	2162	7119
233	2169	7101
234	2171	7070
235	2174	7038
236	2176	7008
237	2183	6989
238	2186	6961
239	2188	6931
240	2191	6901
241	2193	6871
242	2199	6852
243	2202	6822
244	2204	6793
245	2207	6764
246	2211	6740
247	2214	6713
248	2216	6685
249	2219	6657
250	2222	6630
251	2229	6617
252	2232	6590
253	2234	6563
254	2237	6535
255	2242	6517
256	2246	6493
257	2253	6480
258	2262	6473
259	2265	6448
260	2276	6446
261	2283	6431
262	2291	6420
263	2293	6395
264	2296	6369
265	2298	6343
266	2305	6328
267	2308	6305
268	2311	6282
269	2314	6257
270	2326	6259
271	2331	6239
272	2339	6229
273	2343	6210
274	2347	6189
275	2350	6166
276	2353	6142
277	2356	6119
278	2365	6112
279	2369	6091
280	2371	6068
281	2377	6053
282	2381	6034
283	2385	6014
284	2388	5991
285	2399	5989
286	2402	5968
287	2411	5962
288	2416	5944
289	2419	5923
290	2423	5905
291	2428	5887
292	2437	5881
293	2440	5861
294	2443	5839
295	2447	5820
296	2457	5816
297	2461	5798
298	2468	5786
299	2472	5768
300	2476	5750
301	2484	5741
302	2487	5722
303	2494	5710
304	2509	5718
305	2516	5707
306	2520	5689
307	2524	5671
308	2531	5661
309	2536	5645
310	2540	5627
311	2547	5617
312	2554	5606
313	2563	5599
314	2568	5586
315	2579	5584
316	2586	5572
317	2596	5568
318	2600	5552
319	2608	5542
320	2613	5528
321	2617	5511
322	2630	5512
323	2633	5494
324	2646	5496
325	2649	5477
326	2657	5468
327	2661	5453
328	2670	5446
329	2674	5429
330	2677	5411
331	2681	5394
332	2691	5391
333	2696	5377
334	2701	5362
335	2705	5345
336	2715	5341
337	2721	5329
338	2724	5312
339	2735	5309
340	2751	5317
341	2763	5316
342	2768	5303
343	2771	5285
344	2780	5279
345	2784	5262
346	2787	5245
347	2793	5234
348	2796	5216
349	2800	5200
350	2802	5182
351	2809	5171
352	2812	5154
353	2815	5137
354	2818	5120
355	2826	5113
356	2830	5098
357	2833	5081
358	2839	5070
359	2842	5053
360	2845	5036
361	2847	5019
362	2854	5008
363	2856	4991
364	2859	4974
365	2861	4957
366	2864	4940
367	2872	4932
368	2874	4915
369	2877	4899
370	2879	4882
371	2883	4867
372	2886	4852
373	2890	4837
374	2896	4827
375	2899	4811
376	2901	4795
377	2904	4779
378	2912	4771
379	2916	4759
380	2927	4756
381	2931	4741
382	2933	4726
383	2936	4711
384	2943	4702
385	2946	4686
386	2948	4670
387	2951	4655
388	2957	4645
389	2961	4631
390	2963	4616
391	2967	4601
392	2973	4592
393	2976	4577
394	2979	4562
395	2981	4548
396	2987	4537
397	2990	4522
398	2993	4508
399	2996	4494
